index,millisecond,imageBound_x,imageBound_y,imageBound_width,imageBound_height,center_x,center_y,imagePoint_x,imagePoint_y,zoom,interval
260,87248,273,379,51,30,299,394,288,393,19.9674999606639,231
261,87498,273,379,51,30,299,394,294,396,19.9674999606639,250
262,87701,282,385,51,30,308,400,294,395,19.9674999606639,203
263,87921,282,385,51,30,308,400,294,395,19.9674999606639,220
264,88149,282,385,51,30,308,400,297,397,19.9674999606639,228
265,88367,282,385,51,30,308,400,307,399,19.9686889740645,218
266,88599,282,385,51,30,308,400,309,402,20.0394528409788,232
267,88814,279,391,51,30,305,406,310,402,20.0394528409788,215
268,89067,279,391,51,30,305,406,309,402,20.2251768621833,253
269,89312,279,391,51,30,305,406,307,402,21.0682938059732,245
270,89535,279,391,51,30,305,406,307,402,24.4385528075806,223
271,89731,283,393,42,25,304,406,307,402,29.1064188378543,196
272,89954,283,393,42,25,304,406,306,402,29.1064188378543,223
273,90231,287,394,35,21,305,405,306,401,35.1199871097489,277
274,90481,290,395,29,17,305,404,306,402,35.1199871097489,250
275,90680,290,395,29,17,305,404,306,401,41.4046079184327,199
276,90901,293,396,25,14,306,403,306,402,41.4046079184327,221
277,91132,293,396,25,14,306,403,306,401,41.4046079184327,231
278,91655,293,396,25,14,306,403,304,400,41.4046079184327,523
279,91909,287,393,25,14,300,400,304,400,41.4046079184327,254
280,92125,287,393,25,14,300,400,304,400,41.4046079184327,216
281,92348,287,393,25,14,300,400,304,400,41.4046079184327,223
282,92583,287,393,25,14,300,400,304,400,41.4046079184327,235
283,92797,287,393,25,14,300,400,303,400,41.4046079184327,214
284,93024,287,393,25,14,300,400,302,402,41.4046079184327,227
285,93317,287,393,25,14,300,400,301,403,41.3769603435607,293
286,93577,287,393,25,14,300,400,301,403,41.2134335103159,260
287,93800,287,393,25,14,300,400,301,403,40.6584186771554,223
288,94000,287,393,25,14,300,400,301,403,33.8576484291895,200
289,94238,287,393,25,14,300,400,301,403,33.8576484291895,238
290,94425,284,391,29,17,299,400,301,403,28.7246662451201,187
291,94644,280,389,35,21,298,400,301,403,28.7246662451201,219
292,94900,280,389,35,21,298,400,301,403,28.6327644666337,256
293,95139,280,389,35,21,298,400,301,403,28.2514743454678,239
294,95367,280,389,35,21,298,400,300,403,23.5360183834933,228
295,95579,277,386,42,25,298,399,301,403,23.5360183834933,212
296,95784,277,386,42,25,298,399,300,403,19.9674999606639,205
297,96003,277,386,42,25,298,399,300,403,19.9674999606639,219
298,96212,272,383,51,30,298,398,300,403,19.9636891777195,209
299,96458,272,383,51,30,298,398,300,403,19.9426069176347,246
300,96682,272,383,51,30,298,398,300,404,19.8570961428518,224
301,96920,272,383,51,30,298,398,300,404,19.5673144158051,238
302,97118,272,383,51,30,298,398,297,403,16.3190190998325,198
303,97318,267,379,61,36,298,397,298,403,16.3190190998325,200
304,97537,267,379,61,36,298,397,297,403,13.5727919448797,219
305,97750,261,374,73,43,298,396,297,403,13.5727919448797,213
306,97947,261,374,73,43,298,396,296,403,11.3694058058326,197
307,98184,254,368,88,51,298,394,296,403,11.3694058058326,237
308,98404,254,368,88,51,298,394,294,401,9.44706277628905,220
309,98650,246,362,105,62,299,393,297,403,9.44706277628905,246
310,98835,246,362,105,62,299,393,294,401,8.0244904034304,185
311,99073,236,354,127,74,300,391,294,401,8.0244904034304,238
312,99295,236,354,127,74,300,391,291,401,8.0244904034304,222
313,99490,236,354,127,74,300,391,293,398,8.0244904034304,195
314,99751,236,354,127,74,300,391,293,400,8.02323065257636,261
315,99965,236,354,127,74,300,391,294,400,8.01203450937366,214
316,100220,236,354,127,74,300,391,297,394,7.9784386111778,255
317,100413,236,354,127,74,300,391,298,371,6.5389558861268,193
